Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
OULG11,Imóveis Industriais e Logísticos,"24,12","2.674,00","0,85","15,52","59,86 %","0,00 %","59,86 %","60,96 %","0,00 %","9,98 %","5,08 %","64,68 %","7,78 %","72,29 %","117,80 %","70.227.083,56","28,59","0,84","54,27 %","-57,27 %","-34,08 %","-38,97 %",1,"3.784,57",2.920,N/A,N/A,"1,00 % a.a"
OURE11,Misto,"78,2","224.923,68","1,23","1,09","1,39 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,68 %","3,84 %","5,28 %","19,42 %","118.155.565,38","100,43","0,78","1,08 %","10,33 %","11,52 %","23,93 %",1,"6,17",8.102,N/A,"25,00 % a.a","0,95 % a.a"
PABY11,Fundo de Desenvolvimento,"31,46","3.646,56","0,23","0,13",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"-26.124.980,12","251,42","0,13","0,00 %","1,74 %","1,74 %","5,49 %",15,"9.377,93",518,N/A,N/A,N/A
PATA11,Misto,"9,62","36.470,50","0,96","0,08","0,82 %","2,40 %","14,28 %","21,14 %","0,80 %","2,38 %","1,76 %","3,29 %","0,00 %","0,82 %","4,99 %","17.208.032,05",N/A,N/A,N/A,N/A,N/A,N/A,14,"8.058,61",360,N/A,N/A,N/A
PATB11,Lajes Corporativas,N/A,N/A,N/A,"3,69","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"850.673.995,65",N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,1,N/A,N/A,N/A
PATC11,Fundo de Desenvolvimento,39,"537.322,45","1,11","0,05","0,13 %","0,38 %","0,74 %","2,15 %","0,38 %","0,74 %","0,18 %","0,50 %","-1,86 %","-1,73 %","-7,76 %","119.317.501,73","34,31","1,14","0,15 %","-55,09 %","-55,02 %","-57,05 %",4,"1.185,10",4.407,N/A,N/A,"1,18 % a.a"
PATL11,Imóveis Industriais e Logísticos,"66,5","367.464,50","0,75","0,57","0,85 %","2,82 %","5,72 %","13,32 %","0,94 %","0,95 %","1,11 %","1,91 %","1,03 %","1,88 %","8,74 %","444.517.237,28","89,21","0,75","0,64 %","-9,08 %","-8,50 %","-1,64 %",4,"1.840,47",33.377,N/A,N/A,"1,13 % a.a"
PCAS11,Indefinido,N/A,N/A,N/A,"42,86","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"246.852.481,93",N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,100,N/A,N/A,N/A
PCIP11,Papéis,"86,33","2.120.786,55","0,92","0,85","1,01 %","2,90 %","6,14 %","13,85 %","0,97 %","1,02 %","1,15 %","3,96 %","-4,21 %","-3,24 %","9,38 %","1.584.874.648,70",N/A,N/A,N/A,N/A,N/A,N/A,0,"1.366,91",113.270,"0,90 % a.a",N/A,"0,10 % a.a"
PDBM11,Shoppings,"113,63","41,82",1,"1,37","1,19 %","1,19 %","1,19 %","4,82 %","0,40 %","0,20 %","0,60 %","1,19 %","0,00 %","0,00 %",N/A,"38.515.997,03",N/A,N/A,N/A,N/A,N/A,N/A,1,"7.810,20",119,N/A,N/A,N/A
PEMA11,Papéis,37,"79,63","0,66","0,24","0,00 %","3,67 %","8,53 %","19,30 %","1,22 %","1,42 %","1,61 %","3,67 %","0,00 %","0,00 %",N/A,"31.023.574,04",N/A,N/A,N/A,N/A,N/A,N/A,14,"11.675,41",282,N/A,N/A,N/A
PFIN11,Indefinido,"84,2","1.739.644,75",N/A,"0,9","1,10 %","1,10 %","2,57 %","4,62 %","0,37 %","0,43 %","0,39 %","1,10 %","9,38 %","10,59 %","10,59 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"1.687,58",0,N/A,N/A,"0,60 % a.a"
PICE11,Indefinido,"34,8","120.225,60",N/A,"0,5","1,39 %","0,00 %","0,00 %","1,39 %","0,00 %","0,00 %","0,12 %","2,57 %","6,04 %","7,51 %","0,06 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"3.569,37",0,N/A,N/A,"1,30 % a.a"
PLAG11,Indefinido,"65,13","7.670.803,10","0,99","0,65","0,97 %","2,84 %","5,79 %","12,02 %","0,95 %","0,97 %","1,00 %","3,79 %","7,63 %","8,68 %","46,23 %","360.476.925,50",N/A,N/A,N/A,N/A,N/A,N/A,12,"1.845,38",14.099,N/A,N/A,"1,00 % a.a"
PLCA11,Indefinido,"79,8","36.483,45","0,82","1,05","1,31 %","3,87 %","8,23 %","16,31 %","1,29 %","1,37 %","1,36 %","5,28 %","-2,89 %","-1,62 %","23,73 %","53.798.012,96","96,58","0,83","1,09 %","0,00 %","0,00 %","0,00 %",0,"1.263,70",2.420,N/A,"10,00 % a.a","1,15 % a.a"
PLCR11,Papéis,"78,2","864.020,00","0,94","5,23","0,00 %","0,00 %","0,00 %","3,48 %","0,00 %","0,00 %","0,29 %","8,48 %","0,00 %","0,00 %",N/A,"175.914.246,15","83,4","0,94","1,08 %","-8,04 %","-7,05 %","2,32 %",1,"883,02",14.034,N/A,N/A,"1,20 % a.a"
PLOG11,Imóveis Industriais e Logísticos,"66,71","70.165,04","0,63","0,7","0,99 %","3,05 %","6,10 %","12,13 %","1,02 %","1,02 %","1,01 %","4,09 %","2,01 %","3,02 %","0,55 %","79.648.071,76","100,39","0,66","0,75 %","-0,02 %","0,72 %","8,77 %",1,"16,63",3.284,N/A,N/A,N/A
PLRI11,Papéis,"7,49","753,40","0,51","0,25","2,19 %","0,00 %","2,19 %","3,09 %","0,00 %","0,37 %","0,26 %","2,19 %","-6,13 %","-4,07 %","-4,07 %","13.949.403,50","14,54","0,52","1,73 %","-54,79 %","-54,01 %","-60,88 %",1,"13.463,38",775,N/A,N/A,N/A
PMFO11,Misto,"89,5","154.500,92","0,99","0,84","0,93 %","0,93 %","1,91 %","2,88 %","0,93 %","0,32 %","0,24 %","0,93 %","0,00 %","0,00 %",N/A,"88.380.987,36",N/A,N/A,N/A,N/A,N/A,N/A,14,"25.616,10",196,N/A,N/A,N/A
PMIS11,Misto,"8,11","240.751,80","0,85","0,09","1,14 %","3,35 %","7,14 %","14,89 %","1,12 %","1,19 %","1,24 %","4,69 %","-2,76 %","-1,66 %","13,32 %","139.295.209,99",N/A,N/A,N/A,N/A,N/A,N/A,14,"1.711,25",6.716,N/A,"20,00 % a.a","1,10 % a.a"
PMLL11,Shoppings,"110,52","2.681.673,70","0,94",1,"0,92 %","2,79 %","5,35 %","10,61 %","0,93 %","0,89 %","0,88 %","3,62 %","-0,54 %","0,37 %","12,24 %","1.639.149.889,86",N/A,N/A,N/A,N/A,N/A,N/A,11,"1.032,84",129.526,N/A,N/A,"0,50 % a.a"
PNCR11,Imóveis Residenciais,"45,2","350.700,00","0,98","46,09","0,00 %","0,00 %","0,00 %","2,06 %","0,00 %","0,00 %","0,17 %","12,84 %","0,00 %","0,00 %",N/A,"23.037.047,12",N/A,N/A,N/A,N/A,N/A,N/A,14,"13.965,17",112,N/A,N/A,N/A
PNDL11,Fundo de Desenvolvimento,"979,86","245.769,00","1,84",3,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"77.072.432,33",N/A,N/A,N/A,N/A,N/A,N/A,14,"7.311,17",55,N/A,N/A,N/A
PNPR11,Fundo de Desenvolvimento,48,"5.000.064,00","1,17","19,05","25,23 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","25,23 %","0,00 %","0,00 %",N/A,"36.702.298,61",N/A,N/A,N/A,N/A,N/A,N/A,1,"1.778,11",15,N/A,N/A,N/A
PNRC11,Indefinido,"28,44",61,"2,78","0,13","0,00 %","0,00 %","0,00 %","2,46 %","0,00 %","0,00 %","0,21 %","0,00 %","0,00 %","0,00 %",N/A,"4.192.346,38",N/A,N/A,N/A,N/A,N/A,N/A,14,"28.646,06",103,N/A,N/A,N/A
PORD11,Papéis,"8,44","574.106,65","0,89","0,1","1,22 %","3,73 %","7,51 %","14,69 %","1,24 %","1,25 %","1,22 %","2,47 %","0,74 %","1,97 %","4,26 %","355.592.524,15","9,57","0,88","1,04 %","-90,24 %","-90,14 %","-89,08 %",1,"1.029,62",46.178,N/A,"15,00 % a.a","0,90 % a.a"
PPEI11,Indefinido,"85,35","288.223,05",N/A,1,"1,16 %","3,56 %","8,95 %","14,34 %","1,19 %","1,49 %","1,30 %","2,38 %","1,67 %","2,85 %","7,87 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"2.819,03",0,"1,00 % a.a",N/A,"0,10 % a.a"
PQAG11,Imóveis Industriais e Logísticos,"53,38","731.569,58","0,96","0,49","0,96 %","2,70 %","4,46 %","9,87 %","0,90 %","0,74 %","0,82 %","3,57 %","-9,41 %","-8,54 %","-1,52 %","777.092.808,44","55,54","0,96","0,88 %","-3,00 %","-2,15 %","7,49 %",1,"4.119,22",480,N/A,N/A,"0,20 % a.a"
PQDP11,Shoppings,"2.595,00","86.401,55","0,98","14,91","0,65 %","2,10 %","4,25 %","10,19 %","0,70 %","0,71 %","0,85 %","1,40 %","-1,79 %","-1,15 %","-6,42 %","571.578.351,46","25,48","101,84","58,50 %","-99,19 %","-98,71 %","-98,75 %",1,"1.831,50",3.007,N/A,N/A,"0,23 % a.a"
PRIF11,Indefinido,"109,62","238.429,95",N/A,1,"0,00 %","0,00 %","0,00 %","2,07 %","0,00 %","0,00 %","0,69 %","3,02 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"10.102,68",0,N/A,N/A,N/A
PRSV11,Lajes Corporativas,"30,51","2.631,45","0,3","14,1","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"29.540.474,69","364,23","0,08","0,44 %","-0,03 %","0,41 %","-3,81 %",1,"14.955,46",792,N/A,N/A,"0,38 % a.a"
PRTS11,Shoppings,"20.792,47","6.024.872.004,60","325,85","0,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,"2.059,18",8.102,N/A,N/A,N/A
PSEC11,Fundo de Fundos,"62,09","1.630.183,55","0,83","0,65","1,05 %","3,11 %","6,41 %","13,40 %","1,04 %","1,07 %","1,12 %","4,14 %","-0,50 %","0,55 %","6,82 %","1.379.408.634,30",N/A,N/A,N/A,N/A,N/A,N/A,0,"1.102,42",84.038,N/A,"20,00 % a.a","0,93 % a.a"
PULV11,Papéis,"8,72","61.949,00","0,87","0,71","0,00 %","0,00 %","0,00 %","7,17 %","0,00 %","0,00 %","0,60 %","12,52 %","0,00 %","0,00 %",N/A,"120.562.664,39",N/A,N/A,N/A,N/A,N/A,N/A,14,"1.687,93",972,N/A,"20,00 % a.a","1,50 % a.a"
PVBI11,Lajes Corporativas,"78,12","3.918.226,10","0,73","0,4","0,53 %","1,64 %","3,38 %","7,29 %","0,55 %","0,56 %","0,61 %","2,19 %","-3,14 %","-2,62 %","-1,11 %","2.925.582.371,63","107,84","0,72","0,42 %","4,30 %","4,74 %","13,67 %",7,"1.670,74",181.625,"0,80 % a.a",N/A,"0,20 % a.a"
QAMI11,Papéis,"84,68","67.019,00","1,33",1,"1,17 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11,32 %","6,69 %","7,94 %","14,22 %","118.155.565,38","92,8","0,91","1,08 %","1,42 %","2,51 %","14,58 %",14,"112,81",8.102,N/A,N/A,N/A
QIRI11,Papéis,"78,04","6.867,57","1,22","89,64","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","6,90 %","0,00 %","0,00 %",N/A,"118.155.565,38","89,61","0,87","100,03 %","-0,41 %","99,21 %","116,58 %",14,"9,65",8.102,N/A,N/A,N/A
QNTS11,Indefinido,N/A,N/A,N/A,"1,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"242.651.127,07",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,135,N/A,N/A,N/A
RBCO11,Lajes Corporativas,N/A,N/A,N/A,"0,5","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,"90,22",N/A,"0,22 %","1,03 %","1,25 %","-7,08 %",0,N/A,0,N/A,N/A,N/A
RBDS11,Fundo de Desenvolvimento,"2,29","23,25","0,1","2,35","12,63 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","12,63 %","0,00 %","0,00 %",N/A,"2.341.125,24","22,98","0,1","0,00 %","0,00 %","0,00 %","0,00 %",14,"15.434,61",801,N/A,"20,00 % a.a",N/A
RBFM11,Fundo de Fundos,"10,85","468.890,15","0,82","0,11","0,98 %","1,93 %","6,03 %","12,59 %","0,64 %","1,01 %","1,05 %","3,88 %","-2,73 %","-1,78 %","8,11 %","244.429.470,09",N/A,N/A,N/A,N/A,N/A,N/A,0,"1.798,11",24.783,N/A,"20,00 % a.a","0,78 % a.a"
RBFY11,Imóveis Residenciais,"78,99","8.975,55","0,84","0,07","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"92.006.353,11",N/A,N/A,N/A,N/A,N/A,N/A,2,"3.851,46",83,"1,00 % a.a",N/A,N/A
RBGS11,Shoppings,"28,45",N/A,"0,45","0,18","0,62 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,62 %","-1,90 %","-1,29 %","-1,29 %","118.155.565,38","90,78","0,31","0,18 %","0,00 %","0,18 %","1,17 %",14,N/A,8.102,N/A,N/A,N/A
RBHG11,Papéis,"69,28","260.905,95","0,8","0,8","1,15 %","3,64 %","7,39 %","14,97 %","1,21 %","1,23 %","1,25 %","2,36 %","4,53 %","5,74 %","13,35 %","187.835.413,86","86,65","0,8","0,92 %","-5,90 %","-5,03 %","5,11 %",14,"1.501,09",7.642,"0,68 % a.a",N/A,"0,12 % a.a"
RBHY11,Papéis,"79,91","311.209,95","0,87","1,1","1,37 %","4,04 %","8,30 %","17,16 %","1,35 %","1,38 %","1,43 %","5,43 %","-0,19 %","1,18 %","13,85 %","173.496.378,98","91,63","0,87","1,18 %","-2,65 %","-1,50 %","11,84 %",14,"1.184,51",3.528,"0,88 % a.a","10,00 % a.a","0,12 % a.a"
RBIF11,Indefinido,"78,15","249.166,25",N/A,"0,95","1,20 %","3,64 %","8,87 %","17,42 %","1,21 %","1,48 %","1,45 %","6,12 %","0,29 %","1,50 %","20,71 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"1.148,15",0,"0,80 % a.a",N/A,N/A
RBIR11,Fundo de Desenvolvimento,"82,8","48.054,35","1,04","6,87","7,74 %","11,58 %","17,60 %","28,20 %","3,86 %","2,93 %","2,35 %","11,58 %","-0,92 %","6,75 %","13,12 %","121.964.032,21",N/A,N/A,N/A,N/A,N/A,N/A,14,"1.524,04",1.484,N/A,"20,00 % a.a","2,00 % a.a"
RBLG11,Imóveis Industriais e Logísticos,"20,81",832,"0,32","0,42","0,00 %","62,75 %","62,97 %","66,22 %","20,92 %","10,50 %","5,52 %","0,22 %","0,00 %","0,00 %",N/A,"42.262.813,02","65,59","0,32","0,61 %","-34,72 %","-34,33 %","-31,93 %",1,"18.452,39",239,N/A,"20,00 % a.a","1,00 % a.a"
RBOP11,Lajes Corporativas,"229,94","5.610,65","0,3","0,7","0,31 %","0,86 %","8,28 %","8,28 %","0,86 %","1,38 %","0,69 %","8,28 %","-4,89 %","-4,60 %","-28,24 %","75.126.323,81",N/A,N/A,N/A,N/A,N/A,N/A,2,"3.480,46",2.612,N/A,"20,00 % a.a","1,10 % a.a"
RBRD11,Varejo,"40,99","67.441,50","0,57","0,55","1,34 %","4,01 %","4,01 %","4,01 %","1,34 %","0,67 %","0,33 %","4,01 %","-0,60 %","0,73 %","10,31 %","132.560.050,09","71,58","0,57","0,77 %","8,14 %","8,97 %","6,78 %",4,"1.251,96",7.479,N/A,N/A,"0,17 % a.a"
RBRI11,Fundo de Desenvolvimento,585,"3.007,27","1,54","103,82","0,00 %","0,00 %","43,01 %","83,95 %","0,00 %","7,17 %","7,00 %","0,00 %","0,00 %","0,00 %",N/A,"52.970.325,35",N/A,N/A,N/A,N/A,N/A,N/A,1,"34.468,06",143,"1,50 % a.a",N/A,"0,20 % a.a"
RBRL11,Imóveis Industriais e Logísticos,"86,33","1.777.234,25","0,85","0,75","0,80 %","2,48 %","5,19 %","11,42 %","0,83 %","0,87 %","0,95 %","1,61 %","0,90 %","1,70 %","10,22 %","677.483.809,92","101,1","0,85","0,74 %","-5,74 %","-5,04 %","2,68 %",6,"1.656,11",17.120,"1,00 % a.a","20,00 % a.a","0,18 % a.a"
RBRM11,Fundo de Desenvolvimento,"94.794,81",N/A,"17,88","5.302,02","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"2.860.101,93",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,54,N/A,N/A,N/A
RBRP11,Lajes Corporativas,"52,55","525.138,45","0,65","0,4","0,75 %","2,23 %","4,54 %","9,62 %","0,74 %","0,76 %","0,80 %","2,97 %","-1,89 %","-1,15 %","5,33 %","994.378.955,42","81,65","0,64","0,49 %","-0,06 %","0,43 %","4,40 %",6,"1.349,05",55.917,"1,00 % a.a","20,00 % a.a","0,18 % a.a"
RBRR11,Papéis,"83,8","2.296.417,90","0,86","0,7","0,82 %","2,58 %","5,35 %","12,11 %","0,86 %","0,89 %","1,01 %","3,51 %","-1,20 %","-0,39 %","7,71 %","1.588.855.391,10","97,47","0,86","0,72 %","3,61 %","4,36 %","7,42 %",3,"1.141,08",137.782,"0,80 % a.a","20,00 % a.a","0,20 % a.a"
RBRS11,Fundo de Desenvolvimento,49,"21.763,55","0,49","0,11","0,33 %","1,17 %","2,74 %","6,05 %","0,39 %","0,46 %","0,50 %","0,80 %","-9,34 %","-9,04 %","-17,44 %","73.324.984,58","95,66","0,51","0,12 %","1,67 %","1,79 %","7,88 %",2,"5.131,44",888,N/A,N/A,N/A
RBRX11,Indefinido,"8,7","12.051.668,85","0,89","0,09","1,08 %","3,33 %","6,87 %","13,85 %","1,11 %","1,15 %","1,15 %","1,08 %","3,33 %","4,45 %","4,45 %","1.440.697.225,78",N/A,N/A,N/A,N/A,N/A,N/A,14,"1.178,06",125.117,"1,30 % a.a","20,00 % a.a",N/A
RBRY11,Papéis,"92,4","3.605.497,95","0,93","1,06","1,10 %","3,42 %","7,42 %","15,61 %","1,14 %","1,24 %","1,30 %","4,72 %","-0,59 %","0,51 %","9,00 %","1.274.439.804,35","99,8","0,93","1,09 %","-0,09 %","1,00 %","6,22 %",14,"882,59",75.197,"1,10 % a.a","20,00 % a.a","0,20 % a.a"
RBTS11,Fundo de Desenvolvimento,"302,02",302,"0,98","7,34","1,84 %","1,84 %","1,84 %","14,53 %","0,61 %","0,31 %","1,21 %","1,84 %","0,00 %","0,00 %",N/A,"17.502.610,65","279,8","1,08","2,62 %","-74,42 %","-73,75 %","-68,81 %",14,"18.156,40",126,N/A,"17,50 % a.a","1,32 % a.a"
RBVA11,Varejo,"9,92","1.542.214,90","0,93","0,09","0,91 %","2,73 %","5,51 %","12,15 %","0,91 %","0,92 %","1,01 %","3,61 %","-0,30 %","0,61 %","7,35 %","1.668.456.272,99","10,69","0,93","0,84 %","-90,23 %","-90,14 %","-88,27 %",74,"1.147,35",92.782,N/A,N/A,"0,65 % a.a"
RBVO11,Papéis,"5,32","1.143,43","0,95","5,66","106,30 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","168,13 %","-80,93 %","-60,65 %","146,57 %","2.882.596,37",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",14,"2,46",6.943,"0,65 % a.a","20,00 % a.a","0,10 % a.a"
RCFF11,Fundo de Fundos,"72,24","431,55","0,74","0,42","0,00 %","0,00 %","3,76 %","9,17 %","0,00 %","0,63 %","0,83 %","0,00 %","0,00 %","0,00 %",N/A,"31.709.717,05","98,43","0,73","0,43 %","7,61 %","8,07 %","8,43 %",14,"25.053,31",127,"0,50 % a.a",N/A,"0,20 % a.a"
RCRB11,Lajes Corporativas,"140,51","1.197.661,00","0,71","1,07","0,75 %","2,26 %","4,44 %","8,15 %","0,75 %","0,74 %","0,68 %","2,94 %","-0,11 %","0,64 %","16,14 %","735.572.567,22","199,3","0,71","0,54 %","-3,88 %","-3,36 %","6,08 %",9,"1.822,08",24.508,N/A,N/A,"0,70 % a.a"
RDCI11,Indefinido,N/A,N/A,N/A,"1,44","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"279.341.182,81",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,117,N/A,N/A,N/A
RDIV11,Outros,100,"7.735.786,00","1,17","0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"223.657.011,21",N/A,N/A,N/A,N/A,N/A,N/A,0,"24.033,27",141,"1,50 % a.a","20,00 % a.a","0,20 % a.a"
RDLI11,Lajes Corporativas,70,"4.720,80","0,68","23,18","24,27 %","56,61 %","95,07 %","95,07 %","18,87 %","23,77 %","23,77 %","70,57 %","0,53 %","24,92 %","145,85 %","199.381.487,60",N/A,N/A,N/A,N/A,N/A,N/A,1,"30.409,57",267,N/A,N/A,N/A
RECD11,Papéis,"7,14","9.260,65","1,02","0,09","1,32 %","3,13 %","22,53 %","57,19 %","1,04 %","3,76 %","4,77 %","21,48 %","-2,51 %","-1,23 %","22,12 %","37.440.524,09",N/A,N/A,N/A,N/A,N/A,N/A,0,"13.245,05",483,N/A,N/A,N/A
RECM11,Papéis,"7,74","347.312,30","0,8","0,1","1,25 %","3,61 %","7,70 %","16,91 %","1,20 %","1,28 %","1,41 %","4,90 %","-6,77 %","-5,60 %","1,19 %","81.090.282,84",N/A,N/A,N/A,N/A,N/A,N/A,0,"2.901,21",1.068,N/A,N/A,N/A
RECR11,Papéis,83,"2.234.670,05","0,93","1,03","1,26 %","3,15 %","6,29 %","13,95 %","1,05 %","1,05 %","1,16 %","4,15 %","0,11 %","1,37 %","10,92 %","2.351.537.277,46","88,93","0,93","0,82 %","-6,71 %","-5,95 %","7,04 %",1,"1.212,94",174.317,N/A,N/A,"0,20 % a.a"
RECT11,Lajes Corporativas,"39,05","339.628,30","0,44","0,45","1,14 %","3,45 %","7,23 %","14,71 %","1,15 %","1,21 %","1,23 %","4,64 %","-0,83 %","0,30 %","15,78 %","766.838.973,45","89,76","0,44","0,50 %","-4,18 %","-3,70 %","-1,64 %",9,"1.733,56",48.310,N/A,N/A,"0,17 % a.a"
REIT11,Papéis,93,"172,13","0,32","2,73","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"7.765.988,16",N/A,N/A,N/A,N/A,N/A,N/A,1,"14.207,32",62,N/A,N/A,N/A
RELG11,Imóveis Industriais e Logísticos,"71,01","196.945,60","0,83","0,8","1,23 %","3,71 %","7,56 %","14,66 %","1,24 %","1,26 %","1,22 %","4,96 %","-0,08 %","1,15 %","10,30 %","115.603.252,25","86,62","0,82","0,92 %","-29,06 %","-28,40 %","-22,34 %",5,"2.157,20",4.141,"1,00 % a.a",N/A,"0,18 % a.a"
RENV11,Serviços Financeiros Diversos,"6,41","6.378,80","0,46","0,08","1,16 %","3,46 %","7,73 %","10,65 %","1,15 %","1,29 %","0,89 %","4,63 %","-1,43 %","-0,29 %","41,11 %","14.632.360,99",N/A,N/A,N/A,N/A,N/A,N/A,14,"12.486,85",789,"1,13 % a.a","20,00 % a.a","0,12 % a.a"
RFOF11,Fundo de Fundos,"63,84","173.508,00","0,89","0,65","0,00 %","0,00 %","0,00 %","6,52 %","0,00 %","0,00 %","0,54 %","0,00 %","0,00 %","0,00 %",N/A,"55.274.836,23","72,05","0,89","0,90 %","-9,87 %","-9,06 %","-7,96 %",14,"1.805,93",3.284,N/A,N/A,N/A
RIFF11,Indefinido,"8,04","266.346,20",N/A,"0,01","0,09 %","0,00 %","0,00 %","2,85 %","0,00 %","0,00 %","0,24 %","8,72 %","-1,42 %","-1,33 %","23,48 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"1.179,22",0,N/A,"20,00 % a.a","0,84 % a.a"
RINV11,Indefinido,"108,31","306.288,38","1,01","1,1","0,99 %","2,99 %","6,34 %","12,94 %","1,00 %","1,06 %","1,08 %","4,26 %","0,68 %","1,68 %","12,49 %","423.377.119,37",N/A,N/A,N/A,N/A,N/A,N/A,14,"971,88",4.379,N/A,"15,00 % a.a","1,00 % a.a"
RMAI11,Lajes Corporativas,"39,99","42.751,50","0,34","0,27","0,72 %","1,44 %","3,95 %","7,95 %","0,48 %","0,66 %","0,66 %","2,08 %","0,27 %","0,99 %","-4,41 %","581.272.358,96","110,09","0,36","0,25 %","2,07 %","2,32 %","4,59 %",2,"5.534,57",1.094,N/A,N/A,N/A
RNDP11,Papéis,"40,5","14.794,00","1,01","40,38","99,67 %","0,00 %","0,00 %","101,28 %","0,00 %","0,00 %","8,44 %","145,40 %","-5,64 %","88,42 %","309,72 %","4.329.855,96",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",14,"478,39",1.292,N/A,N/A,N/A
RNGO11,Lajes Corporativas,"52,89","41.465,75","0,63","0,48","0,93 %","2,75 %","4,48 %","8,89 %","0,92 %","0,75 %","0,74 %","3,32 %","-4,57 %","-3,68 %","6,34 %","223.572.675,48","83,55","0,63","0,57 %","-3,57 %","-3,01 %","1,48 %",4,"1.707,65",6.697,N/A,N/A,"0,20 % a.a"
ROOF11,Fundo de Desenvolvimento,"323,31",323,"1,14","13,55","0,00 %","0,00 %","0,00 %","15,90 %","0,00 %","0,00 %","1,33 %","15,90 %","0,00 %","0,00 %",N/A,"21.890.935,81",N/A,N/A,N/A,N/A,N/A,N/A,32,"17.895,81",81,N/A,N/A,N/A
RPRI11,Papéis,"85,97","576.611,40","0,85","0,9","1,00 %","3,50 %","6,88 %","15,17 %","1,17 %","1,15 %","1,26 %","2,45 %","5,52 %","6,57 %","7,56 %","350.172.339,51",N/A,N/A,N/A,N/A,N/A,N/A,14,"989,34",4.638,N/A,N/A,"1,60 % a.a"
RSPD11,Fundo de Desenvolvimento,"799,98","7.770,43","1,05","93,95","11,25 %","11,59 %","11,59 %","20,87 %","3,86 %","1,93 %","1,74 %","11,59 %","-4,76 %","5,95 %","5,95 %","113.788.791,35","1.130,10","0,71","0,98 %","-1,08 %","-0,11 %","-0,11 %",14,"19.842,65",191,N/A,N/A,N/A
